id,name
01939a8c-1234-7000-8000-000000000001-category,수입명품
01939a8c-1234-7000-8000-000000000002-category,패션의류
01939a8c-1234-7000-8000-000000000003-category,패션잡화
01939a8c-1234-7000-8000-000000000004-category,뷰티
01939a8c-1234-7000-8000-000000000005-category,출산/유아동
01939a8c-1234-7000-8000-000000000006-category,모바일/태블릿
01939a8c-1234-7000-8000-000000000007-category,가전제품
01939a8c-1234-7000-8000-000000000008-category,노트북/PC
01939a8c-1234-7000-8000-000000000009-category,카메라/캠코더
01939a8c-1234-7000-8000-000000000010-category,가구/인테리어
01939a8c-1234-7000-8000-000000000011-category,리빙/생활
01939a8c-1234-7000-8000-000000000012-category,게임
01939a8c-1234-7000-8000-000000000013-category,반려동물/취미
01939a8c-1234-7000-8000-000000000014-category,도서/음반/문구
01939a8c-1234-7000-8000-000000000015-category,티켓/쿠폰
01939a8c-1234-7000-8000-000000000016-category,스포츠
01939a8c-1234-7000-8000-000000000017-category,레저/여행
01939a8c-1234-7000-8000-000000000018-category,오토바이
01939a8c-1234-7000-8000-000000000019-category,공구/산업용품
01939a8c-1234-7000-8000-000000000020-category,무료나눔
01939a8c-1234-7000-8000-000000000021-category,중고차
